srcNode_dstNode_flowId,flowSizeBytes,startTimeNs,endTimeNs,fctNs,baseRttNs,targetRttNs,rtoNs,bdpBytes,maxCwndBytes,oooCount,oooAvgDistance,oooMaxDistance,totalPackets
0_6_4,2000000,0.000000,197804.800000,197804.800000,13996.800000,10497.600000,99541.440000,174960,262440,387,17.821705,47,497
0_109_2,2000000,0.000000,198214.400000,198214.400000,13996.800000,10497.600000,99541.440000,174960,262440,420,20.185714,58,497
0_36_70,2000000,0.000000,198306.560000,198306.560000,13996.800000,10497.600000,99541.440000,174960,262440,383,14.699739,46,497
0_35_49,2000000,0.000000,198444.800000,198444.800000,13996.800000,10497.600000,99541.440000,174960,262440,391,12.892583,45,497
0_103_121,2000000,0.000000,198455.040000,198455.040000,13996.800000,10497.600000,99541.440000,174960,262440,412,19.310680,57,497
1700077626_38_106,2000000,0.000000,198624.640000,198624.640000,13996.800000,10497.600000,99541.440000,174960,262440,371,14.393531,43,497
0_81_59,2000000,0.000000,198711.040000,198711.040000,13996.800000,10497.600000,99541.440000,174960,262440,408,19.031863,48,497
0_22_7,2000000,0.000000,198782.720000,198782.720000,13996.800000,10497.600000,99541.440000,174960,262440,379,13.817942,38,497
0_118_32,2000000,0.000000,198920.960000,198920.960000,13996.800000,10497.600000,99541.440000,174960,262440,400,17.392500,47,497
0_100_41,2000000,0.000000,198977.280000,198977.280000,13996.800000,10497.600000,99541.440000,174960,262440,385,16.459740,49,497
0_21_127,2000000,0.000000,199048.960000,199048.960000,13493.120000,10497.600000,99541.440000,168664,252996,382,21.421466,51,497
0_105_116,2000000,0.000000,199217.280000,199217.280000,13996.800000,10497.600000,99541.440000,174960,262440,401,11.466334,36,497
0_93_9,2000000,0.000000,199264.640000,199264.640000,13617.920000,10497.600000,99541.440000,170224,255336,346,16.000000,39,497
0_42_94,2000000,0.000000,199504.640000,199504.640000,13996.800000,10497.600000,99541.440000,174960,262440,372,16.341398,39,497
169173408_107_26,2000000,0.000000,199544.960000,199544.960000,13996.800000,10497.600000,99541.440000,174960,262440,398,14.369347,45,497
0_78_45,2000000,0.000000,199827.200000,199827.200000,13996.800000,10497.600000,99541.440000,174960,262440,394,17.751269,47,497
0_123_114,2000000,0.000000,199847.680000,199847.680000,13996.800000,10497.600000,99541.440000,174960,262440,391,16.695652,44,497
0_26_85,2000000,0.000000,199874.560000,199874.560000,13996.800000,10497.600000,99541.440000,174960,262440,393,20.737913,56,497
0_57_128,2000000,0.000000,200119.040000,200119.040000,13996.800000,10497.600000,99541.440000,174960,262440,405,21.249383,48,497
0_97_11,2000000,0.000000,200441.600000,200441.600000,13996.800000,10497.600000,99541.440000,174960,262440,390,14.305128,41,497
0_56_117,2000000,0.000000,200462.080000,200462.080000,13593.600000,10497.600000,99541.440000,169920,254880,398,23.804020,68,497
0_43_115,2000000,0.000000,200836.480000,200836.480000,13996.800000,10497.600000,99541.440000,174960,262440,376,17.667553,39,497
0_33_78,2000000,0.000000,200902.400000,200902.400000,13936.000000,10497.600000,99541.440000,174200,261300,384,13.770833,39,497
0_85_86,2000000,0.000000,201091.840000,201091.840000,13996.800000,10497.600000,99541.440000,174960,262440,388,13.997423,38,497
0_99_88,2000000,0.000000,201117.440000,201117.440000,13996.800000,10497.600000,99541.440000,174960,262440,425,22.207059,50,497
0_70_24,2000000,0.000000,201224.960000,201224.960000,13996.800000,10497.600000,99541.440000,174960,262440,362,19.831492,47,497
0_90_40,2000000,0.000000,201257.600000,201257.600000,13996.800000,10497.600000,99541.440000,174960,262440,365,21.295890,51,497
0_110_96,2000000,0.000000,201516.800000,201516.800000,13996.800000,10497.600000,99541.440000,174960,262440,422,22.037915,62,497
0_89_102,2000000,0.000000,201585.280000,201585.280000,13386.240000,10497.600000,99541.440000,167328,250992,381,24.233596,53,497
0_9_101,2000000,0.000000,201772.800000,201772.800000,13996.800000,10497.600000,99541.440000,174960,262440,368,17.171196,43,497
0_31_71,2000000,0.000000,202059.520000,202059.520000,13996.800000,10497.600000,99541.440000,174960,262440,376,15.859043,45,497
0_77_75,2000000,0.000000,202105.600000,202105.600000,13996.800000,10497.600000,99541.440000,174960,262440,392,22.040816,53,497
0_104_34,2000000,0.000000,202110.720000,202110.720000,13875.840000,10497.600000,99541.440000,173448,260172,418,22.885167,62,497
0_2_58,2000000,0.000000,202730.240000,202730.240000,13996.800000,10497.600000,99541.440000,174960,262440,422,29.300948,66,497
0_98_89,2000000,0.000000,202760.960000,202760.960000,13996.800000,10497.600000,99541.440000,174960,262440,388,17.778351,58,497
0_73_69,2000000,0.000000,202781.440000,202781.440000,13996.800000,10497.600000,99541.440000,174960,262440,387,16.180879,44,497
0_45_72,2000000,0.000000,202940.160000,202940.160000,13996.800000,10497.600000,99541.440000,174960,262440,358,29.410615,60,497
0_41_55,2000000,0.000000,203114.240000,203114.240000,13996.800000,10497.600000,99541.440000,174960,262440,395,22.921519,53,497
